id,title,content,difficulty
1,3Sum,"Given an array S of n integers, are there elements a, b, c in S such that a + b + c = 0?Find all unique triplets in the array which gives the sum of zero.
 Note:
 Elements in a triplet (a,b,c) must be in non-descending order. (ie, a â‰¤ b â‰¤ c)The solution set must not contain duplicate triplets.
 For example, given array S = {-1 0 1 2 -1 -4},
 A solution set is:(-1, 0, 1)(-1, -1, 2)",2
2,3SumClosest,"Given an array S of n integers, find three integers in S such that the sum isclosest to a given number, target. Return the sum of the three integers.You may assume that each input would have exactly one solution.
 For example, given array S = {-1 2 1 -4}, and target = 1.
 The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).",1
3,4Sum,"Given an array S of n integers, are there elements a, b, c, and d in S such that a + b + c + d = target?Find all unique quadruplets in the array which gives the sum of target.
 Note:
 Elements in a quadruplet (a,b,c,d) must be in non-descending order. (ie, a â‰¤ b â‰¤ c â‰¤ d)The solution set must not contain duplicate quadruplets.
 For example, given array S = {1 0 -1 0 -2 2}, and target = 0.
 A solution set is:(-1, 0, 0, 1)(-2, -1, 1, 2)(-2, 0, 0, 2)",1
4,AccountsMerge,"Given a list accounts, each element accounts[i] is a list of strings, where the first elementaccounts[i][0] is a name, and the rest of the elements are emails representing emails of theaccount.
 Now, we would like to merge these accounts. Two accounts definitely belong to the same person ifthere is some email that is common to both accounts. Note that even if two accounts have the samename, they may belong to different people as people could have the same name. A person can haveany number of accounts initially, but all of their accounts definitely have the same name.
 After merging the accounts, return the accounts in the following format: the first element of eachaccount is the name, and the rest of the elements are emails in sorted order. The accountsthemselves can be returned in any order.
 Example 1:
 Input:accounts = [[""John"", ""johnsmith@mail.com"", ""john00@mail.com""], [""John"", ""johnnybravo@mail.com""],[""John"", ""johnsmith@mail.com"", ""john_newyork@mail.com""], [""Mary"", ""mary@mail.com""]]Output: [[""John"", 'john00@mail.com', 'john_newyork@mail.com', 'johnsmith@mail.com'], [""John"",""johnnybravo@mail.com""], [""Mary"", ""mary@mail.com""]]
 Explanation:The first and third John's are the same person as they have the common email ""johnsmith@mail.com"".The second John and Mary are different people as none of their email addresses are used by otheraccounts.
 We could return these lists in any order, for example the answer [['Mary', 'mary@mail.com'],['John', 'johnnybravo@mail.com'],['John', 'john00@mail.com', 'john_newyork@mail.com', 'johnsmith@mail.com']] would still be accepted.
 Note:The length of accounts will be in the range [1, 1000].The length of accounts[i] will be in the range [1, 10].The length of accounts[i][j] will be in the range [1, 30].",1
5,AddAndSearchWord,"Design a data structure that supports the following two operations:
 void addWord(word)bool search(word)
 search(word) can search a literal word or a regular expression string containing only letters `a-z` or `.`A `.` means it can represent any one letter.
 For example:
 addWord(""bad"")addWord(""dad"")addWord(""mad"")search(""pad"") -> falsesearch(""bad"") -> truesearch("".ad"") -> truesearch(""b.."") -> true
 Note:You may assume that all words are consist of lowercase letters a-z.
 click to show hint.
 You should be familiar with how a Trie works. If not, please work on this problem: Implement Trie (Prefix Tree) first.",1
6,addBinary,"Given two binary strings, return their sum (also a binary string).
 For example,a = ""11""b = ""1""Return ""100"".",0
7,addDigits,"Given a non-negative integer num, repeatedly add all its digits until the result has only one digit.
 For example:Given num = 38, the process is like: 3 + 8 = 11, 1 + 1 = 2. Since 2 has only one digit, return it.
 Follow up:Could you do it without any loop/recursion in O(1) runtime?",0
8,AdditiveNumber,"Additive number is a positive integer whose digits can form additive sequence.
 A valid additive sequence should contain at least three numbers. Except for thefirst two numbers, each subsequent number in the sequence must be the sum of thepreceding two.
 For example:""112358"" is an additive number because the digits can form an additive sequence: 1,1, 2, 3, 5, 8.1 + 1 = 2, 1 + 2 = 3, 2 + 3 = 5, 3 + 5 = 8""199100199"" is also an additive number, the additive sequence is: 1, 99, 100, 199.1 + 99 = 100, 99 + 100 = 199
 Note: Numbers in the additive sequence cannot have leading zeros, so sequence 1, 2,03 or 1, 02, 3 is invalid.
 Given a string represents an integer, write a function to determine if it's anadditive number.
 Follow up:How would you handle overflow for very large input integers?
 Credits:Special thanks to @jeantimex for adding this problem and creating all testcases.",0
9,AddStrings,"Given two non-negative numbers num1 and num2 represented as string, return the sumof num1 and num2.
 Note:
 The length of both num1 and num2 isBoth num1 and num2 contains only digits 0-9.Both num1 and num2 does not contain any leading zero.You must not use any built-in BigInteger library or convert the inputs to integerdirectly.",0
10,AddToArrayFormOfInteger,"For a non-negative integer X, the array-form of X is an array of its digits in left to right order.For example, if X = 1231, then the array form is [1,2,3,1].
 Given the array-form A of a non-negative integer X, return the array-form of the integer X+K.
 Example 1:
 Input: A = [1,2,0,0], K = 34Output: [1,2,3,4]Explanation: 1200 + 34 = 1234
 Example 2:
 Input: A = [2,7,4], K = 181Output: [4,5,5]Explanation: 274 + 181 = 455
 Example 3:
 Input: A = [2,1,5], K = 806Output: [1,0,2,1]Explanation: 215 + 806 = 1021
 Example 4:
 Input: A = [9,9,9,9,9,9,9,9,9,9], K = 1Output: [1,0,0,0,0,0,0,0,0,0,0]Explanation: 9999999999 + 1 = 10000000000
 Noteï¼š
 1 <= A.length <= 100000 <= A[i] <= 90 <= K <= 10000If A.length > 1, then A[0] != 0",0
